cuda
3300
The slice id is: 3
3300
3526721
epoch= 0 	 time= 4.584005669752757 min 	 loss= 4.165091314460292
[4.16509131]
epoch= 1 	 time= 9.086821484565736 min 	 loss= 4.052318078676859
epoch= 2 	 time= 13.625030314922332 min 	 loss= 4.033786910013719
epoch= 3 	 time= 18.090436629454295 min 	 loss= 4.015767530130618
epoch= 4 	 time= 22.516326932112374 min 	 loss= 4.002088273149548
epoch= 5 	 time= 26.9423947095871 min 	 loss= 3.9899601462302785
epoch= 6 	 time= 31.390678381919862 min 	 loss= 3.9712356761955854
epoch= 7 	 time= 35.80731817483902 min 	 loss= 3.9564581199441897
epoch= 8 	 time= 40.23323511282603 min 	 loss= 3.9390831776053616
