cuda
3300
The slice id is: 0
825
13177026
epoch= 0 	 time= 5.196884624163309 min 	 loss= 2.8875585434670477
epoch= 1 	 time= 10.932510153452556 min 	 loss= 2.6804156675449375
epoch= 2 	 time= 16.148851720492043 min 	 loss= 2.62246189555887
epoch= 3 	 time= 22.11465215285619 min 	 loss= 2.5951748580192073
epoch= 4 	 time= 27.46366486946742 min 	 loss= 2.5494572197533016
epoch= 5 	 time= 33.47114824056625 min 	 loss= 2.5130282919876503
epoch= 6 	 time= 39.29003078142802 min 	 loss= 2.4471366897993017
epoch= 7 	 time= 45.27869848807653 min 	 loss= 2.375790451277386
epoch= 8 	 time= 51.31040492455165 min 	 loss= 2.3204113158425597
epoch= 9 	 time= 57.1657510638237 min 	 loss= 2.2318486795867933
epoch= 10 	 time= 63.067747728029886 min 	 loss= 2.157518283088099
epoch= 11 	 time= 69.10529276927312 min 	 loss= 2.050986764074275
epoch= 12 	 time= 75.16175116697947 min 	 loss= 2.0253840119730344
epoch= 13 	 time= 81.2230221192042 min 	 loss= 1.9897616757779861
epoch= 14 	 time= 87.27357612450918 min 	 loss= 1.8356578386383076
epoch= 15 	 time= 93.31368988752365 min 	 loss= 1.7480283859823689
epoch= 16 	 time= 99.36414529879887 min 	 loss= 1.709796937388001
epoch= 17 	 time= 105.25288117726645 min 	 loss= 1.597480308081616
epoch= 18 	 time= 111.26135115623474 min 	 loss= 1.6221937368652135
epoch= 19 	 time= 117.29192716677984 min 	 loss= 1.547140863187837
epoch= 20 	 time= 123.32291770378748 min 	 loss= 1.5091129694517815
epoch= 21 	 time= 129.27947959899902 min 	 loss= 1.4129224232132687
epoch= 22 	 time= 134.77680187622707 min 	 loss= 1.3065715027329596
epoch= 23 	 time= 140.1127100189527 min 	 loss= 1.2991246728170098
epoch= 24 	 time= 145.7623157143593 min 	 loss= 1.2561931578160235
epoch= 25 	 time= 151.20856117407482 min 	 loss= 1.148682544739409
epoch= 26 	 time= 157.22793176571528 min 	 loss= 1.0617176967610915
epoch= 27 	 time= 163.23685697714487 min 	 loss= 1.0681846991779678
epoch= 28 	 time= 170.19124930302303 min 	 loss= 1.075161927814285
epoch= 29 	 time= 177.51485975583395 min 	 loss= 1.0369350833569964
epoch= 30 	 time= 184.23161480029424 min 	 loss= 1.025486171316694
epoch= 31 	 time= 191.58941494226457 min 	 loss= 0.9837978588563926
epoch= 32 	 time= 198.95423681338627 min 	 loss= 0.8494910336895423
epoch= 33 	 time= 206.31870714823404 min 	 loss= 0.776891942578509
epoch= 34 	 time= 213.67158059279123 min 	 loss= 0.7392895226191842
epoch= 35 	 time= 221.0446142355601 min 	 loss= 0.7435219520595715
epoch= 36 	 time= 228.450434978803 min 	 loss= 0.7460328505538179
epoch= 37 	 time= 235.8655974149704 min 	 loss= 0.8353863946060566
epoch= 38 	 time= 243.27581562201183 min 	 loss= 0.7186779861569856
epoch= 39 	 time= 250.68568154176077 min 	 loss= 0.7707022071787806
epoch= 40 	 time= 258.09736384153365 min 	 loss= 0.6729091815927037
epoch= 41 	 time= 265.50425853729246 min 	 loss= 0.6329673649825043
epoch= 42 	 time= 272.92134352525073 min 	 loss= 0.5211846665151869
epoch= 43 	 time= 280.33744790554044 min 	 loss= 0.5547697904752568
epoch= 44 	 time= 287.745220164458 min 	 loss= 0.6041634417934851
epoch= 45 	 time= 295.13319583733875 min 	 loss= 0.5170010163014134
epoch= 46 	 time= 302.54901312589647 min 	 loss= 0.45560512108333184
epoch= 47 	 time= 309.93924744526544 min 	 loss= 0.49074348121881484
epoch= 48 	 time= 317.3449698249499 min 	 loss= 0.4633169228618852
epoch= 49 	 time= 324.7500307559967 min 	 loss= 0.5571209175692815
epoch= 50 	 time= 332.1497878432274 min 	 loss= 0.4650552017399759
epoch= 51 	 time= 339.54323733647664 min 	 loss= 0.36674251955623427
epoch= 52 	 time= 346.91504121224085 min 	 loss= 0.34026583392060167
epoch= 53 	 time= 354.3064305981 min 	 loss= 0.4099080525615224
epoch= 54 	 time= 361.66076281070707 min 	 loss= 0.4224909391115899
epoch= 55 	 time= 369.0429452379545 min 	 loss= 0.36064732845844416
epoch= 56 	 time= 376.4162733356158 min 	 loss= 0.32073925672409437
epoch= 57 	 time= 383.79370780785877 min 	 loss= 0.31643949383996767
epoch= 58 	 time= 391.15242115656537 min 	 loss= 0.3983726329669695
epoch= 59 	 time= 398.51095758279166 min 	 loss= 0.4919524599652681
epoch= 60 	 time= 405.8640317479769 min 	 loss= 0.39793710482250333
epoch= 61 	 time= 413.2415205279986 min 	 loss= 0.31399077244512175
epoch= 62 	 time= 420.62443160216014 min 	 loss= 0.2762640782692611
epoch= 63 	 time= 427.99419407049817 min 	 loss= 0.3183485220153957
epoch= 64 	 time= 435.365397242705 min 	 loss= 0.3039593074332471
epoch= 65 	 time= 442.7208070238431 min 	 loss= 0.3786530329018944
epoch= 66 	 time= 450.08471001784005 min 	 loss= 0.26706369350805426
epoch= 67 	 time= 457.43250072399775 min 	 loss= 0.24070713708854535
epoch= 68 	 time= 464.791785800457 min 	 loss= 0.46704246687032563
epoch= 69 	 time= 472.153138367335 min 	 loss= 0.4491269086233594
epoch= 70 	 time= 479.51024525562923 min 	 loss= 0.38836312567956294
epoch= 71 	 time= 486.87320951223376 min 	 loss= 0.3317692005713329
epoch= 72 	 time= 494.27421468893687 min 	 loss= 0.2265650611609277
epoch= 73 	 time= 501.6778974334399 min 	 loss= 0.2784958075737637
epoch= 74 	 time= 509.0548056602478 min 	 loss= 0.2821096822021134
epoch= 75 	 time= 516.4341514110565 min 	 loss= 0.28769785752957405
epoch= 76 	 time= 523.8392213304837 min 	 loss= 0.29047908745917744
epoch= 77 	 time= 531.2457858085633 min 	 loss= 0.2960523240951553
epoch= 78 	 time= 538.6576774636904 min 	 loss= 0.3489174015660573
epoch= 79 	 time= 546.0615426341693 min 	 loss= 0.24393506411822852
epoch= 80 	 time= 553.4641098737717 min 	 loss= 0.19737526480351913
epoch= 81 	 time= 560.8694569945335 min 	 loss= 0.29247639355108596
epoch= 82 	 time= 568.260658510526 min 	 loss= 0.4280144636108625
epoch= 83 	 time= 575.6319088498751 min 	 loss= 0.2718062438677545
epoch= 84 	 time= 582.9901423255602 min 	 loss= 0.2239718977462458
epoch= 85 	 time= 590.3538332263629 min 	 loss= 0.26171199047049
epoch= 86 	 time= 597.707685637474 min 	 loss= 0.21798454373722162
epoch= 87 	 time= 605.0499824325244 min 	 loss= 0.18573840872652717
epoch= 88 	 time= 612.4004930615425 min 	 loss= 0.2753603268348238
epoch= 89 	 time= 619.758387152354 min 	 loss= 0.27851674539693205
epoch= 90 	 time= 627.1256771365802 min 	 loss= 0.2812892133315715
epoch= 91 	 time= 634.5163918177287 min 	 loss= 0.21745705259364154
epoch= 92 	 time= 641.8778999328613 min 	 loss= 0.1772217584312823
epoch= 93 	 time= 649.2401593208313 min 	 loss= 0.18135348899155912
epoch= 94 	 time= 656.5954364657402 min 	 loss= 0.33872650831168744
epoch= 95 	 time= 663.9422835270564 min 	 loss= 0.28209052341221125
epoch= 96 	 time= 671.2895497600238 min 	 loss= 0.18300058656079327
epoch= 97 	 time= 678.644260251522 min 	 loss= 0.15254239821072782
epoch= 98 	 time= 685.9978101730346 min 	 loss= 0.41174778310313936
epoch= 99 	 time= 693.3713963270187 min 	 loss= 0.3230712412478346
epoch= 100 	 time= 700.7452978173892 min 	 loss= 0.2379515894097417
epoch= 101 	 time= 708.1229038278262 min 	 loss= 0.26274619334148047
epoch= 102 	 time= 715.4987482309341 min 	 loss= 0.22952920709066374
epoch= 103 	 time= 722.8565197666486 min 	 loss= 0.23395270315076536
epoch= 104 	 time= 730.2076067010562 min 	 loss= 0.3763749351633614
epoch= 105 	 time= 737.552062702179 min 	 loss= 0.23989572981076146
epoch= 106 	 time= 744.894744348526 min 	 loss= 0.17771190548837748
epoch= 107 	 time= 752.248965203762 min 	 loss= 0.15285612091055195
epoch= 108 	 time= 759.6109910647075 min 	 loss= 0.15143816489590486
epoch= 109 	 time= 766.9712539553642 min 	 loss= 0.1973647964440258
epoch= 110 	 time= 774.3543364286422 min 	 loss= 0.268598640632858
epoch= 111 	 time= 781.7226427038511 min 	 loss= 0.20779533485310492
epoch= 112 	 time= 789.0875677704811 min 	 loss= 0.15584494237872687
epoch= 113 	 time= 796.4503495335579 min 	 loss= 0.13592209935174182
epoch= 114 	 time= 803.8022552847863 min 	 loss= 0.12665119410019762
