cuda
3300
825
3303618
Slice group ID:  5
epoch= 0 	 time= 3.503567389647166 min 	 loss= 1.4660963278105765
epoch= 1 	 time= 6.97394558986028 min 	 loss= 1.3164627247145682
epoch= 2 	 time= 10.434970533847808 min 	 loss= 1.3018184024637396
epoch= 3 	 time= 13.888287556171417 min 	 loss= 1.282523704442111
epoch= 4 	 time= 17.380508669217427 min 	 loss= 1.2582114814989493
epoch= 5 	 time= 20.848590687910715 min 	 loss= 1.233602771542289
epoch= 6 	 time= 24.31420282125473 min 	 loss= 1.2149481731472593
epoch= 7 	 time= 27.859932096799216 min 	 loss= 1.2021594188430094
epoch= 8 	 time= 31.366219409306844 min 	 loss= 1.1885323778788248
epoch= 9 	 time= 34.85927453835805 min 	 loss= 1.1808638420971957
epoch= 10 	 time= 38.35400369962056 min 	 loss= 1.1748087734164614
epoch= 11 	 time= 41.81432990233103 min 	 loss= 1.1660271741404677
epoch= 12 	 time= 45.25273454586665 min 	 loss= 1.1598126938126303
epoch= 13 	 time= 48.73630976676941 min 	 loss= 1.1553206879442388
epoch= 14 	 time= 52.173735558986664 min 	 loss= 1.1508833642439409
epoch= 15 	 time= 55.613829084237416 min 	 loss= 1.145665944778558
epoch= 16 	 time= 59.06884951591492 min 	 loss= 1.1415605732166405
epoch= 17 	 time= 62.52872805992762 min 	 loss= 1.1377673000277895
epoch= 18 	 time= 66.00979244311651 min 	 loss= 1.1346257642543678
epoch= 19 	 time= 69.48822371959686 min 	 loss= 1.1304618228565564
epoch= 20 	 time= 72.9573172489802 min 	 loss= 1.1276927551356228
epoch= 21 	 time= 76.45513610045116 min 	 loss= 1.1244450469450518
epoch= 22 	 time= 79.90657653013865 min 	 loss= 1.1209759165301467
epoch= 23 	 time= 83.3386101325353 min 	 loss= 1.1188090455170834
epoch= 24 	 time= 86.79040146271387 min 	 loss= 1.1160905163215868
epoch= 25 	 time= 90.23936554590861 min 	 loss= 1.1133512796777667
epoch= 26 	 time= 93.74094678163529 min 	 loss= 1.110947806040446
epoch= 27 	 time= 97.27343587478002 min 	 loss= 1.1086351229205276
epoch= 28 	 time= 100.80319997866948 min 	 loss= 1.106382284597917
epoch= 29 	 time= 104.31419848203659 min 	 loss= 1.104270864761237
epoch= 30 	 time= 107.81497810284297 min 	 loss= 1.090075541120587
epoch= 31 	 time= 111.31932994524638 min 	 loss= 1.082829012148308
epoch= 32 	 time= 114.81735545794169 min 	 loss= 1.0793601754217437
epoch= 33 	 time= 118.32639621098836 min 	 loss= 1.0770612447912042
epoch= 34 	 time= 121.84350343942643 min 	 loss= 1.0751570811416165
epoch= 35 	 time= 125.36254393657049 min 	 loss= 1.0735098669023224
epoch= 36 	 time= 128.87348344723384 min 	 loss= 1.0722388381669015
epoch= 37 	 time= 132.38200970888138 min 	 loss= 1.0709929266120448
epoch= 38 	 time= 135.90200567245483 min 	 loss= 1.0698402279796022
epoch= 39 	 time= 139.4177656451861 min 	 loss= 1.0688328815229011
epoch= 40 	 time= 142.94850454727808 min 	 loss= 1.067821938413562
epoch= 41 	 time= 146.47674681345623 min 	 loss= 1.0669602105111786
epoch= 42 	 time= 150.00478149255116 min 	 loss= 1.0660237471262615
epoch= 43 	 time= 153.51052405436835 min 	 loss= 1.0651809101393728
epoch= 44 	 time= 157.01458552281062 min 	 loss= 1.0644917889797327
epoch= 45 	 time= 160.5262133439382 min 	 loss= 1.0636844458002033
epoch= 46 	 time= 164.039897441864 min 	 loss= 1.062940899892287
epoch= 47 	 time= 167.5436934709549 min 	 loss= 1.0622254813078678
epoch= 48 	 time= 171.03254390557606 min 	 loss= 1.061585385799408
epoch= 49 	 time= 174.53273626565934 min 	 loss= 1.0609436424573262
epoch= 50 	 time= 178.04857995907466 min 	 loss= 1.060264177900372
epoch= 51 	 time= 181.544160425663 min 	 loss= 1.0597023018923672
epoch= 52 	 time= 185.04355289936066 min 	 loss= 1.0590347998069993
epoch= 53 	 time= 188.5418518225352 min 	 loss= 1.0584718080722924
epoch= 54 	 time= 192.05246738592783 min 	 loss= 1.0577924566557912
epoch= 55 	 time= 195.5710586865743 min 	 loss= 1.057381470781384
epoch= 56 	 time= 199.08533010880151 min 	 loss= 1.0567750109325755
epoch= 57 	 time= 202.6011427283287 min 	 loss= 1.0563227546576297
epoch= 58 	 time= 206.0868008375168 min 	 loss= 1.0558301855578567
epoch= 59 	 time= 209.59977439244588 min 	 loss= 1.055284479820367
epoch= 60 	 time= 213.07828969160715 min 	 loss= 1.0533571735295382
epoch= 61 	 time= 216.59320807854334 min 	 loss= 1.052980786670338
epoch= 62 	 time= 220.12340002854665 min 	 loss= 1.05279571352583
epoch= 63 	 time= 223.63071586290997 min 	 loss= 1.0525488798546068
epoch= 64 	 time= 227.14325117667516 min 	 loss= 1.052370409676523
epoch= 65 	 time= 230.6229667544365 min 	 loss= 1.0522103729392542
epoch= 66 	 time= 234.14375521739325 min 	 loss= 1.0521648198908025
epoch= 67 	 time= 237.64547905921935 min 	 loss= 1.0521103754910557
epoch= 68 	 time= 241.14511864582698 min 	 loss= 1.0519466654459635
epoch= 69 	 time= 244.65684091647466 min 	 loss= 1.0518606094158056
epoch= 70 	 time= 248.16214333375294 min 	 loss= 1.0517472298940023
epoch= 71 	 time= 251.6617822686831 min 	 loss= 1.0517175560286551
epoch= 72 	 time= 255.15478084484735 min 	 loss= 1.0516117586511553
epoch= 73 	 time= 258.66678621371585 min 	 loss= 1.0515200350501321
epoch= 74 	 time= 262.1474925875664 min 	 loss= 1.051423001722856
epoch= 75 	 time= 265.069526664416 min 	 loss= 1.0514096247788631
epoch= 76 	 time= 266.2995420336723 min 	 loss= 1.0513483126958212
epoch= 77 	 time= 267.5186557928721 min 	 loss= 1.051270546840899
epoch= 78 	 time= 268.7648730039597 min 	 loss= 1.0511881131114382
epoch= 79 	 time= 270.0106191833814 min 	 loss= 1.0511478900186944
epoch= 80 	 time= 271.25806516011556 min 	 loss= 1.0510666937539073
epoch= 81 	 time= 272.5008572300275 min 	 loss= 1.051057328527624
epoch= 82 	 time= 273.749928855896 min 	 loss= 1.050966401533647
epoch= 83 	 time= 274.9916029294332 min 	 loss= 1.0508238044652072
epoch= 84 	 time= 276.1958224773407 min 	 loss= 1.0508102276108482
epoch= 85 	 time= 277.3902134696643 min 	 loss= 1.0507391798135006
epoch= 86 	 time= 278.6374679803848 min 	 loss= 1.0506829287066604
epoch= 87 	 time= 279.87379784584044 min 	 loss= 1.0506290407614274
epoch= 88 	 time= 281.11711597045263 min 	 loss= 1.050619952245192
epoch= 89 	 time= 282.3538749655088 min 	 loss= 1.0504926061630249
epoch= 90 	 time= 283.59672621488573 min 	 loss= 1.0502883294134429
epoch= 91 	 time= 284.81354485352836 min 	 loss= 1.0502963170860753
epoch= 92 	 time= 286.04277649323143 min 	 loss= 1.050265039097179
epoch= 93 	 time= 287.3054336190224 min 	 loss= 1.0503239331100926
epoch= 94 	 time= 288.5313177585602 min 	 loss= 1.050265344923193
epoch= 95 	 time= 289.7667992472649 min 	 loss= 1.0502761140014185
epoch= 96 	 time= 291.0207899411519 min 	 loss= 1.050247042612596
epoch= 97 	 time= 292.26492371956505 min 	 loss= 1.0502681012587114
epoch= 98 	 time= 293.5158756613731 min 	 loss= 1.0501776032014327
epoch= 99 	 time= 294.7657500346502 min 	 loss= 1.0502092123754097
epoch= 100 	 time= 296.00580486059187 min 	 loss= 1.0501703858375548
epoch= 101 	 time= 297.24545055627823 min 	 loss= 1.0501920020941533
epoch= 102 	 time= 298.48674898147584 min 	 loss= 1.0502102928450614
epoch= 103 	 time= 299.7012042403221 min 	 loss= 1.05019384803194
epoch= 104 	 time= 300.9016193985939 min 	 loss= 1.050172588969722
epoch= 105 	 time= 302.1343120098114 min 	 loss= 1.0501316635536424
epoch= 106 	 time= 303.37404918670654 min 	 loss= 1.0501760530471802
epoch= 107 	 time= 304.611844933033 min 	 loss= 1.0501669563669147
epoch= 108 	 time= 305.83724521398545 min 	 loss= 1.050193074544271
epoch= 109 	 time= 307.0838050842285 min 	 loss= 1.0500969519037189
epoch= 110 	 time= 308.3266065557798 min 	 loss= 1.0500745129585267
epoch= 111 	 time= 309.5769921819369 min 	 loss= 1.0501123723116788
epoch= 112 	 time= 310.8171462535858 min 	 loss= 1.050169372992082
epoch= 113 	 time= 312.04700502554573 min 	 loss= 1.050035692128268
epoch= 114 	 time= 313.2778770128886 min 	 loss= 1.0501346960934725
epoch= 115 	 time= 314.5138915936152 min 	 loss= 1.050080599784851
epoch= 116 	 time= 315.7583511749903 min 	 loss= 1.0500128816113328
epoch= 117 	 time= 317.00841768980024 min 	 loss= 1.0500501343698212
